Date,TimePt,Day,Replicate,Sample,Chlorophyll-a
9/11/24,T0,0,1,OTB-1006_Control_20,114.93
9/11/24,T0,0,2,OTB-1006_Control_20,182.71
9/11/24,T0,0,3,OTB-1006_Control_20,64.19
9/11/24,T0,0,1,OTB-1006_Control_25,110.5
9/11/24,T0,0,2,OTB-1006_Control_25,191.08
9/11/24,T0,0,3,OTB-1006_Control_25,208.31
9/11/24,T0,0,1,OTB-1006_Control_30,366.06
9/11/24,T0,0,2,OTB-1006_Control_30,131.83
9/11/24,T0,0,3,OTB-1006_Control_30,213.36
9/11/24,T0,0,1,OTB-1006_HW_20,231.01
9/11/24,T0,0,2,OTB-1006_HW_20,125.48
9/11/24,T0,0,3,OTB-1006_HW_20,221.59
9/11/24,T0,0,1,OTB-1006_HW_25,204.11
9/11/24,T0,0,2,OTB-1006_HW_25,135.11
9/11/24,T0,0,3,OTB-1006_HW_25,234.66
9/11/24,T0,0,1,OTB-1006_HW_30,231.72
9/11/24,T0,0,2,OTB-1006_HW_30,154.42
9/11/24,T0,0,3,OTB-1006_HW_30,191.76
9/11/24,T0,0,1,Axenic-1006_Control_20,217.73
9/11/24,T0,0,2,Axenic-1006_Control_20,77.3
9/11/24,T0,0,3,Axenic-1006_Control_20,202.09
9/11/24,T0,0,1,Axenic-1006_Control_25,151.9
9/11/24,T0,0,2,Axenic-1006_Control_25,205.29
9/11/24,T0,0,3,Axenic-1006_Control_25,104.66
9/11/24,T0,0,1,Axenic-1006_Control_30,167.53
9/11/24,T0,0,2,Axenic-1006_Control_30,70.87
9/11/24,T0,0,3,Axenic-1006_Control_30,153.43
9/11/24,T0,0,1,Axenic-1006_HW_20,89.57
9/11/24,T0,0,2,Axenic-1006_HW_20,103.72
9/11/24,T0,0,3,Axenic-1006_HW_20,193.14
9/11/24,T0,0,1,Axenic-1006_HW_25,170.62
9/11/24,T0,0,2,Axenic-1006_HW_25,112.54
9/11/24,T0,0,3,Axenic-1006_HW_25,102.57
9/11/24,T0,0,1,Axenic-1006_HW_30,121.72
9/11/24,T0,0,2,Axenic-1006_HW_30,112.54
9/11/24,T0,0,3,Axenic-1006_HW_30,105.09
9/13/24,T1,2,1,OTB-1006_Control_20,94.88
9/13/24,T1,2,2,OTB-1006_Control_20,351.05
9/13/24,T1,2,3,OTB-1006_Control_20,420.26
9/13/24,T1,2,1,OTB-1006_Control_25,320.46
9/13/24,T1,2,2,OTB-1006_Control_25,151.18
9/13/24,T1,2,3,OTB-1006_Control_25,105.58
9/13/24,T1,2,1,OTB-1006_Control_30,458.98
9/13/24,T1,2,2,OTB-1006_Control_30,164.74
9/13/24,T1,2,3,OTB-1006_Control_30,455.26
9/13/24,T1,2,1,OTB-1006_HW_20,137.52
9/13/24,T1,2,2,OTB-1006_HW_20,492.57
9/13/24,T1,2,3,OTB-1006_HW_20,742.51
9/13/24,T1,2,1,OTB-1006_HW_25,251.93
9/13/24,T1,2,2,OTB-1006_HW_25,230.41
9/13/24,T1,2,3,OTB-1006_HW_25,324.47
9/13/24,T1,2,1,OTB-1006_HW_30,371.52
9/13/24,T1,2,2,OTB-1006_HW_30,303.91
9/13/24,T1,2,3,OTB-1006_HW_30,659.74
9/13/24,T1,2,1,Axenic-1006_Control_20,140.25
9/13/24,T1,2,2,Axenic-1006_Control_20,136.49
9/13/24,T1,2,3,Axenic-1006_Control_20,240.89
9/13/24,T1,2,1,Axenic-1006_Control_25,152.15
9/13/24,T1,2,2,Axenic-1006_Control_25,192.29
9/13/24,T1,2,3,Axenic-1006_Control_25,374.08
9/13/24,T1,2,1,Axenic-1006_Control_30,430.67
9/13/24,T1,2,2,Axenic-1006_Control_30,140.4
9/13/24,T1,2,3,Axenic-1006_Control_30,146.38
9/13/24,T1,2,1,Axenic-1006_HW_20,184.02
9/13/24,T1,2,2,Axenic-1006_HW_20,99.02
9/13/24,T1,2,3,Axenic-1006_HW_20,194.94
9/13/24,T1,2,1,Axenic-1006_HW_25,81.54
9/13/24,T1,2,2,Axenic-1006_HW_25,120.96
9/13/24,T1,2,3,Axenic-1006_HW_25,104
9/13/24,T1,2,1,Axenic-1006_HW_30,140.67
9/13/24,T1,2,2,Axenic-1006_HW_30,232.3
9/13/24,T1,2,3,Axenic-1006_HW_30,186.88
9/15/24,T2,4,1,OTB-1006_Control_20,142.37
9/15/24,T2,4,2,OTB-1006_Control_20,354.25
9/15/24,T2,4,3,OTB-1006_Control_20,129.4
9/15/24,T2,4,1,OTB-1006_Control_25,207.77
9/15/24,T2,4,2,OTB-1006_Control_25,130.54
9/15/24,T2,4,3,OTB-1006_Control_25,258.48
9/15/24,T2,4,1,OTB-1006_Control_30,173.53
9/15/24,T2,4,2,OTB-1006_Control_30,64.94
9/15/24,T2,4,3,OTB-1006_Control_30,369.21
9/15/24,T2,4,1,OTB-1006_HW_20,508.61
9/15/24,T2,4,2,OTB-1006_HW_20,453
9/15/24,T2,4,3,OTB-1006_HW_20,300.36
9/15/24,T2,4,1,OTB-1006_HW_25,138.55
9/15/24,T2,4,2,OTB-1006_HW_25,301.89
9/15/24,T2,4,3,OTB-1006_HW_25,417.8
9/15/24,T2,4,1,OTB-1006_HW_30,459.61
9/15/24,T2,4,2,OTB-1006_HW_30,340.29
9/15/24,T2,4,3,OTB-1006_HW_30,211.66
9/15/24,T2,4,1,Axenic-1006_Control_20,129.9
9/15/24,T2,4,2,Axenic-1006_Control_20,68.16
9/15/24,T2,4,3,Axenic-1006_Control_20,266.71
9/15/24,T2,4,1,Axenic-1006_Control_25,67.77
9/15/24,T2,4,2,Axenic-1006_Control_25,262.15
9/15/24,T2,4,3,Axenic-1006_Control_25,198.57
9/15/24,T2,4,1,Axenic-1006_Control_30,227.73
9/15/24,T2,4,2,Axenic-1006_Control_30,76.8
9/15/24,T2,4,3,Axenic-1006_Control_30,175.62
9/15/24,T2,4,1,Axenic-1006_HW_20,297.73
9/15/24,T2,4,2,Axenic-1006_HW_20,295.29
9/15/24,T2,4,3,Axenic-1006_HW_20,201.35
9/15/24,T2,4,1,Axenic-1006_HW_25,203.36
9/15/24,T2,4,2,Axenic-1006_HW_25,123.06
9/15/24,T2,4,3,Axenic-1006_HW_25,393.11
9/15/24,T2,4,1,Axenic-1006_HW_30,132.48
9/15/24,T2,4,2,Axenic-1006_HW_30,291.9
9/15/24,T2,4,3,Axenic-1006_HW_30,155.33
9/17/24,T3,6,1,OTB-1006_Control_20,552.49
9/17/24,T3,6,2,OTB-1006_Control_20,427.4
9/17/24,T3,6,3,OTB-1006_Control_20,317.26
9/17/24,T3,6,1,OTB-1006_Control_25,553.15
9/17/24,T3,6,2,OTB-1006_Control_25,418.53
9/17/24,T3,6,3,OTB-1006_Control_25,294.37
9/17/24,T3,6,1,OTB-1006_Control_30,711.48
9/17/24,T3,6,2,OTB-1006_Control_30,252.93
9/17/24,T3,6,3,OTB-1006_Control_30,341.48
9/17/24,T3,6,1,OTB-1006_HW_20,436.84
9/17/24,T3,6,2,OTB-1006_HW_20,647.53
9/17/24,T3,6,3,OTB-1006_HW_20,104.06
9/17/24,T3,6,1,OTB-1006_HW_25,199.96
9/17/24,T3,6,2,OTB-1006_HW_25,491.56
9/17/24,T3,6,3,OTB-1006_HW_25,614.47
9/17/24,T3,6,1,OTB-1006_HW_30,508.04
9/17/24,T3,6,2,OTB-1006_HW_30,293.97
9/17/24,T3,6,3,OTB-1006_HW_30,252.55
9/17/24,T3,6,1,Axenic-1006_Control_20,208.97
9/17/24,T3,6,2,Axenic-1006_Control_20,506.7
9/17/24,T3,6,3,Axenic-1006_Control_20,463.11
9/17/24,T3,6,1,Axenic-1006_Control_25,217.85
9/17/24,T3,6,2,Axenic-1006_Control_25,148.85
9/17/24,T3,6,3,Axenic-1006_Control_25,112.52
9/17/24,T3,6,1,Axenic-1006_Control_30,580.41
9/17/24,T3,6,2,Axenic-1006_Control_30,182.16
9/17/24,T3,6,3,Axenic-1006_Control_30,437.85
9/17/24,T3,6,1,Axenic-1006_HW_20,206.45
9/17/24,T3,6,2,Axenic-1006_HW_20,345.27
9/17/24,T3,6,3,Axenic-1006_HW_20,154.46
9/17/24,T3,6,1,Axenic-1006_HW_25,281.12
9/17/24,T3,6,2,Axenic-1006_HW_25,315.55
9/17/24,T3,6,3,Axenic-1006_HW_25,131.59
9/17/24,T3,6,1,Axenic-1006_HW_30,195.91
9/17/24,T3,6,2,Axenic-1006_HW_30,454.09
9/17/24,T3,6,3,Axenic-1006_HW_30,98.72
9/19/24,T4,8,1,OTB-1006_Control_20,968.97
9/19/24,T4,8,2,OTB-1006_Control_20,655.36
9/19/24,T4,8,3,OTB-1006_Control_20,436
9/19/24,T4,8,1,OTB-1006_Control_25,468.88
9/19/24,T4,8,2,OTB-1006_Control_25,845.48
9/19/24,T4,8,3,OTB-1006_Control_25,478.97
9/19/24,T4,8,1,OTB-1006_Control_30,745.31
9/19/24,T4,8,2,OTB-1006_Control_30,323.89
9/19/24,T4,8,3,OTB-1006_Control_30,480.29
9/19/24,T4,8,1,OTB-1006_HW_20,311.02
9/19/24,T4,8,2,OTB-1006_HW_20,438.96
9/19/24,T4,8,3,OTB-1006_HW_20,237.3
9/19/24,T4,8,1,OTB-1006_HW_25,359.45
9/19/24,T4,8,2,OTB-1006_HW_25,549.73
9/19/24,T4,8,3,OTB-1006_HW_25,736.26
9/19/24,T4,8,1,OTB-1006_HW_30,792.53
9/19/24,T4,8,2,OTB-1006_HW_30,327.39
9/19/24,T4,8,3,OTB-1006_HW_30,247.6
9/19/24,T4,8,1,Axenic-1006_Control_20,275.47
9/19/24,T4,8,2,Axenic-1006_Control_20,342.79
9/19/24,T4,8,3,Axenic-1006_Control_20,337.85
9/19/24,T4,8,1,Axenic-1006_Control_25,311.95
9/19/24,T4,8,2,Axenic-1006_Control_25,613.55
9/19/24,T4,8,3,Axenic-1006_Control_25,345.87
9/19/24,T4,8,1,Axenic-1006_Control_30,569.07
9/19/24,T4,8,2,Axenic-1006_Control_30,416.6
9/19/24,T4,8,3,Axenic-1006_Control_30,342.81
9/19/24,T4,8,1,Axenic-1006_HW_20,236.33
9/19/24,T4,8,2,Axenic-1006_HW_20,348.04
9/19/24,T4,8,3,Axenic-1006_HW_20,362.39
9/19/24,T4,8,1,Axenic-1006_HW_25,397.53
9/19/24,T4,8,2,Axenic-1006_HW_25,431.03
9/19/24,T4,8,3,Axenic-1006_HW_25,423.15
9/19/24,T4,8,1,Axenic-1006_HW_30,445.67
9/19/24,T4,8,2,Axenic-1006_HW_30,552
9/19/24,T4,8,3,Axenic-1006_HW_30,545.41
9/21/24,T5,10,1,OTB-1006_Control_20,791.87
9/21/24,T5,10,2,OTB-1006_Control_20,1281.33
9/21/24,T5,10,3,OTB-1006_Control_20,410.89
9/21/24,T5,10,1,OTB-1006_Control_25,720.62
9/21/24,T5,10,2,OTB-1006_Control_25,802.6
9/21/24,T5,10,3,OTB-1006_Control_25,873.64
9/21/24,T5,10,1,OTB-1006_Control_30,1151.59
9/21/24,T5,10,2,OTB-1006_Control_30,442.92
9/21/24,T5,10,3,OTB-1006_Control_30,671.98
9/21/24,T5,10,1,OTB-1006_HW_20,422.46
9/21/24,T5,10,2,OTB-1006_HW_20,674.43
9/21/24,T5,10,3,OTB-1006_HW_20,361.4
9/21/24,T5,10,1,OTB-1006_HW_25,413.3
9/21/24,T5,10,2,OTB-1006_HW_25,527.5
9/21/24,T5,10,3,OTB-1006_HW_25,773.22
9/21/24,T5,10,1,OTB-1006_HW_30,933.57
9/21/24,T5,10,2,OTB-1006_HW_30,372.8
9/21/24,T5,10,3,OTB-1006_HW_30,439.86
9/21/24,T5,10,1,Axenic-1006_Control_20,402.91
9/21/24,T5,10,2,Axenic-1006_Control_20,580.84
9/21/24,T5,10,3,Axenic-1006_Control_20,1053.75
9/21/24,T5,10,1,Axenic-1006_Control_25,352.95
9/21/24,T5,10,2,Axenic-1006_Control_25,1150.36
9/21/24,T5,10,3,Axenic-1006_Control_25,514.73
9/21/24,T5,10,1,Axenic-1006_Control_30,1065.81
9/21/24,T5,10,2,Axenic-1006_Control_30,933.35
9/21/24,T5,10,3,Axenic-1006_Control_30,827.93
9/21/24,T5,10,1,Axenic-1006_HW_20,470.45
9/21/24,T5,10,2,Axenic-1006_HW_20,745.76
9/21/24,T5,10,3,Axenic-1006_HW_20,514.63
9/21/24,T5,10,1,Axenic-1006_HW_25,858.3
9/21/24,T5,10,2,Axenic-1006_HW_25,596.95
9/21/24,T5,10,3,Axenic-1006_HW_25,795.74
9/21/24,T5,10,1,Axenic-1006_HW_30,1291.6
9/21/24,T5,10,2,Axenic-1006_HW_30,984.85
9/21/24,T5,10,3,Axenic-1006_HW_30,867.85
9/23/24,T6,12,1,OTB-1006_Control_20,824.9
9/23/24,T6,12,2,OTB-1006_Control_20,1209.57
9/23/24,T6,12,3,OTB-1006_Control_20,1549.13
9/23/24,T6,12,1,OTB-1006_Control_25,963.48
9/23/24,T6,12,2,OTB-1006_Control_25,1207.04
9/23/24,T6,12,3,OTB-1006_Control_25,999.86
9/23/24,T6,12,1,OTB-1006_Control_30,1393.42
9/23/24,T6,12,2,OTB-1006_Control_30,546.49
9/23/24,T6,12,3,OTB-1006_Control_30,661.66
9/23/24,T6,12,1,OTB-1006_HW_20,580.47
9/23/24,T6,12,2,OTB-1006_HW_20,833.61
9/23/24,T6,12,3,OTB-1006_HW_20,458.92
9/23/24,T6,12,1,OTB-1006_HW_25,645
9/23/24,T6,12,2,OTB-1006_HW_25,373.7
9/23/24,T6,12,3,OTB-1006_HW_25,1127.76
9/23/24,T6,12,1,OTB-1006_HW_30,1509.59
9/23/24,T6,12,2,OTB-1006_HW_30,321.29
9/23/24,T6,12,3,OTB-1006_HW_30,567.82
9/23/24,T6,12,1,Axenic-1006_Control_20,484.43
9/23/24,T6,12,2,Axenic-1006_Control_20,575.98
9/23/24,T6,12,3,Axenic-1006_Control_20,1298.66
9/23/24,T6,12,1,Axenic-1006_Control_25,1293.55
9/23/24,T6,12,2,Axenic-1006_Control_25,2310.58
9/23/24,T6,12,3,Axenic-1006_Control_25,823.97
9/23/24,T6,12,1,Axenic-1006_Control_30,2111.62
9/23/24,T6,12,2,Axenic-1006_Control_30,1075.67
9/23/24,T6,12,3,Axenic-1006_Control_30,1369.12
9/23/24,T6,12,1,Axenic-1006_HW_20,705.2
9/23/24,T6,12,2,Axenic-1006_HW_20,1325.26
9/23/24,T6,12,3,Axenic-1006_HW_20,706.96
9/23/24,T6,12,1,Axenic-1006_HW_25,1532.14
9/23/24,T6,12,2,Axenic-1006_HW_25,1454.97
9/23/24,T6,12,3,Axenic-1006_HW_25,1385.12
9/23/24,T6,12,1,Axenic-1006_HW_30,1810.99
9/23/24,T6,12,2,Axenic-1006_HW_30,2743.83
9/23/24,T6,12,3,Axenic-1006_HW_30,1457.71
9/25/24,T7,14,1,OTB-1006_Control_20,1397.78
9/25/24,T7,14,2,OTB-1006_Control_20,2065.68
9/25/24,T7,14,3,OTB-1006_Control_20,1364.75
9/25/24,T7,14,1,OTB-1006_Control_25,1581.47
9/25/24,T7,14,2,OTB-1006_Control_25,1599.09
9/25/24,T7,14,3,OTB-1006_Control_25,1359.47
9/25/24,T7,14,1,OTB-1006_Control_30,1453.36
9/25/24,T7,14,2,OTB-1006_Control_30,519.33
9/25/24,T7,14,3,OTB-1006_Control_30,1030.33
9/25/24,T7,14,1,OTB-1006_HW_20,1199.46
9/25/24,T7,14,2,OTB-1006_HW_20,1374.49
9/25/24,T7,14,3,OTB-1006_HW_20,546.38
9/25/24,T7,14,1,OTB-1006_HW_25,1111.55
9/25/24,T7,14,2,OTB-1006_HW_25,593.96
9/25/24,T7,14,3,OTB-1006_HW_25,1086.04
9/25/24,T7,14,1,OTB-1006_HW_30,1437.34
9/25/24,T7,14,2,OTB-1006_HW_30,751.7
9/25/24,T7,14,3,OTB-1006_HW_30,938.19
9/25/24,T7,14,1,Axenic-1006_Control_20,482.05
9/25/24,T7,14,2,Axenic-1006_Control_20,753.48
9/25/24,T7,14,3,Axenic-1006_Control_20,1852.88
9/25/24,T7,14,1,Axenic-1006_Control_25,1364.58
9/25/24,T7,14,2,Axenic-1006_Control_25,3454.94
9/25/24,T7,14,3,Axenic-1006_Control_25,1457.91
9/25/24,T7,14,1,Axenic-1006_Control_30,2762.95
9/25/24,T7,14,2,Axenic-1006_Control_30,1395.14
9/25/24,T7,14,3,Axenic-1006_Control_30,1923.19
9/25/24,T7,14,1,Axenic-1006_HW_20,825.77
9/25/24,T7,14,2,Axenic-1006_HW_20,2342.73
9/25/24,T7,14,3,Axenic-1006_HW_20,1455.24
9/25/24,T7,14,1,Axenic-1006_HW_25,2230.67
9/25/24,T7,14,2,Axenic-1006_HW_25,1228.69
9/25/24,T7,14,3,Axenic-1006_HW_25,2249.27
9/25/24,T7,14,1,Axenic-1006_HW_30,3478.55
9/25/24,T7,14,2,Axenic-1006_HW_30,3141.83
9/25/24,T7,14,3,Axenic-1006_HW_30,2812.47