Sample,Date,Pyrodinium Concentration
LD1_H_20,9/15/2024,0.019
LD2_H_20,9/15/2024,0.069
LD3_H_20,9/15/2024,0
LD1_H_25,9/15/2024,0.044
LD2_H_25,9/15/2024,0.013
LD3_H_25,9/15/2024,0.019
LD1_H_30,9/15/2024,0.031
LD2_H_30,9/15/2024,0.013
LD3_H_30,9/15/2024,0.013
LD1_C_20,9/15/2024,0.013
LD2_C_20,9/15/2024,0.006
LD3_C_20,9/15/2024,0.038
LD1_C_25,9/15/2024,0
LD2_C_25,9/15/2024,0.025
LD3_C_25,9/15/2024,0.031
LD1_C_30,9/15/2024,0.044
LD2_C_30,9/15/2024,0
LD3_C_30,9/15/2024,0.006
D1_H_20,9/15/2024,0.025
D2_H_20,9/15/2024,0.019
D3_H_20,9/15/2024,0.019
D1_H_25,9/15/2024,0.013
D2_H_25,9/15/2024,0.013
D3_H_25,9/15/2024,0.019
D1_H_30,9/15/2024,0.037
D2_H_30,9/15/2024,0.019
D3_H_30,9/15/2024,0.031
D1_C_20,9/15/2024,0.019
D2_C_20,9/15/2024,0.044
D3_C_20,9/15/2024,0.006
D1_C_25,9/15/2024,0.057
D2_C_25,9/15/2024,0.031
D3_C_25,9/15/2024,0.019
D1_C_30,9/15/2024,0.037
D2_C_30,9/15/2024,0.031
D3_C_30,9/15/2024,0.013
LD1_H_20,9/17/2024,0.006
LD2_H_20,9/17/2024,0.05
LD3_H_20,9/17/2024,0
LD1_H_25,9/17/2024,0.006
LD2_H_25,9/17/2024,0.037
LD3_H_25,9/17/2024,0.013
LD1_H_30,9/17/2024,0.031
LD2_H_30,9/17/2024,0.037
LD3_H_30,9/17/2024,0.05
LD1_C_20,9/17/2024,0.038
LD2_C_20,9/17/2024,0.05
LD3_C_20,9/17/2024,0.025
LD1_C_25,9/17/2024,0.013
LD2_C_25,9/17/2024,0.05
LD3_C_25,9/17/2024,0.019
LD1_C_30,9/17/2024,0.038
LD2_C_30,9/17/2024,0.031
LD3_C_30,9/17/2024,0.025
D1_H_20,9/17/2024,0.038
D2_H_20,9/17/2024,0.025
D3_H_20,9/17/2024,0.037
D1_H_25,9/17/2024,0.019
D2_H_25,9/17/2024,0.031
D3_H_25,9/17/2024,0.044
D1_H_30,9/17/2024,0.057
D2_H_30,9/17/2024,0.019
D3_H_30,9/17/2024,0.006
D1_C_20,9/17/2024,0.056
D2_C_20,9/17/2024,0.038
D3_C_20,9/17/2024,0.05
D1_C_25,9/17/2024,0.037
D2_C_25,9/17/2024,0.038
D3_C_25,9/17/2024,0.081
D1_C_30,9/17/2024,0.038
D2_C_30,9/17/2024,0.019
D3_C_30,9/17/2024,0.025
LD1_H_20,9/19/2024,0.013
LD2_H_20,9/19/2024,0.063
LD3_H_20,9/19/2024,0.025
LD1_H_25,9/19/2024,0.025
LD2_H_25,9/19/2024,0.025
LD3_H_25,9/19/2024,0.031
LD1_H_30,9/19/2024,0.05
LD2_H_30,9/19/2024,0.006
LD3_H_30,9/19/2024,0.063
LD1_C_20,9/19/2024,0
LD2_C_20,9/19/2024,0.031
LD3_C_20,9/19/2024,0.081
LD1_C_25,9/19/2024,0.037
LD2_C_25,9/19/2024,0.063
LD3_C_25,9/19/2024,0.006
LD1_C_30,9/19/2024,0.082
LD2_C_30,9/19/2024,0.019
LD3_C_30,9/19/2024,0.044
D1_H_20,9/19/2024,0.031
D2_H_20,9/19/2024,0.057
D3_H_20,9/19/2024,0.025
D1_H_25,9/19/2024,0.019
D2_H_25,9/19/2024,0.019
D3_H_25,9/19/2024,0.044
D1_H_30,9/19/2024,0.05
D2_H_30,9/19/2024,0.031
D3_H_30,9/19/2024,0.019
D1_C_20,9/19/2024,0.057
D2_C_20,9/19/2024,0.094
D3_C_20,9/19/2024,0.05
D1_C_25,9/19/2024,0.044
D2_C_25,9/19/2024,0.057
D3_C_25,9/19/2024,0.05
D1_C_30,9/19/2024,0.081
D2_C_30,9/19/2024,0.025
D3_C_30,9/19/2024,0.013
LD1_H_20,9/21/2024,0.019
LD2_H_20,9/21/2024,0.156
LD3_H_20,9/21/2024,0.069
LD1_H_25,9/21/2024,0.094
LD2_H_25,9/21/2024,0.097
LD3_H_25,9/21/2024,0.075
LD1_H_30,9/21/2024,0.063
LD2_H_30,9/21/2024,0.087
LD3_H_30,9/21/2024,0.081
LD1_C_20,9/21/2024,0.044
LD2_C_20,9/21/2024,0.056
LD3_C_20,9/21/2024,0.163
LD1_C_25,9/21/2024,0.075
LD2_C_25,9/21/2024,0.106
LD3_C_25,9/21/2024,0.081
LD1_C_30,9/21/2024,0.087
LD2_C_30,9/21/2024,0
LD3_C_30,9/21/2024,0.031
D1_H_20,9/21/2024,0.019
D2_H_20,9/21/2024,0.094
D3_H_20,9/21/2024,0.019
D1_H_25,9/21/2024,0.006
D2_H_25,9/21/2024,0.025
D3_H_25,9/21/2024,0.056
D1_H_30,9/21/2024,0.126
D2_H_30,9/21/2024,0.025
D3_H_30,9/21/2024,0.05
D1_C_20,9/21/2024,0.094
D2_C_20,9/21/2024,0.044
D3_C_20,9/21/2024,0.075
D1_C_25,9/21/2024,0.106
D2_C_25,9/21/2024,0.057
D3_C_25,9/21/2024,0.031
D1_C_30,9/21/2024,0.069
D2_C_30,9/21/2024,0.019
D3_C_30,9/21/2024,0.069
LD1_H_20,9/23/2024,0.094
LD2_H_20,9/23/2024,0.188
LD3_H_20,9/23/2024,0.138
LD1_H_25,9/23/2024,0.138
LD2_H_25,9/23/2024,0.063
LD3_H_25,9/23/2024,0.188
LD1_H_30,9/23/2024,0.239
LD2_H_30,9/23/2024,0.132
LD3_H_30,9/23/2024,0.208
LD1_C_20,9/23/2024,0.075
LD2_C_20,9/23/2024,0.05
LD3_C_20,9/23/2024,0.138
LD1_C_25,9/23/2024,0.113
LD2_C_25,9/23/2024,0.22
LD3_C_25,9/23/2024,0.119
LD1_C_30,9/23/2024,0.231
LD2_C_30,9/23/2024,0.1
LD3_C_30,9/23/2024,0.125
D1_H_20,9/23/2024,0.082
D2_H_20,9/23/2024,0.113
D3_H_20,9/23/2024,0.1
D1_H_25,9/23/2024,0.05
D2_H_25,9/23/2024,0.025
D3_H_25,9/23/2024,0.081
D1_H_30,9/23/2024,0.063
D2_H_30,9/23/2024,0.088
D3_H_30,9/23/2024,0.057
D1_C_20,9/23/2024,0.063
D2_C_20,9/23/2024,0.163
D3_C_20,9/23/2024,0.151
D1_C_25,9/23/2024,0.081
D2_C_25,9/23/2024,0.119
D3_C_25,9/23/2024,0.119
D1_C_30,9/23/2024,0.069
D2_C_30,9/23/2024,0.063
D3_C_30,9/23/2024,0.107
LD1_H_20,9/25/2024,0.145
LD2_H_20,9/25/2024,0.22
LD3_H_20,9/25/2024,0.219
LD1_H_25,9/25/2024,0.313
LD2_H_25,9/25/2024,0.239
LD3_H_25,9/25/2024,0.308
LD1_H_30,9/25/2024,0.444
LD2_H_30,9/25/2024,0.388
LD3_H_30,9/25/2024,0.27
LD1_C_20,9/25/2024,0.106
LD2_C_20,9/25/2024,0.156
LD3_C_20,9/25/2024,0.277
LD1_C_25,9/25/2024,0.119
LD2_C_25,9/25/2024,0.459
LD3_C_25,9/25/2024,0.2
LD1_C_30,9/25/2024,0.369
LD2_C_30,9/25/2024,0.163
LD3_C_30,9/25/2024,0.226
D1_H_20,9/25/2024,0.082
D2_H_20,9/25/2024,0.057
D3_H_20,9/25/2024,0.063
D1_H_25,9/25/2024,0.075
D2_H_25,9/25/2024,0.082
D3_H_25,9/25/2024,0.214
D1_H_30,9/25/2024,0.182
D2_H_30,9/25/2024,0.057
D3_H_30,9/25/2024,0.113
D1_C_20,9/25/2024,0.144
D2_C_20,9/25/2024,0.182
D3_C_20,9/25/2024,0.132
D1_C_25,9/25/2024,0.225
D2_C_25,9/25/2024,0.188
D3_C_25,9/25/2024,0.126
D1_C_30,9/25/2024,0.138
D2_C_30,9/25/2024,0.069
D3_C_30,9/25/2024,0.151